dProofs19.txt:55                       3 Cpp            DDDD1D1D11D1D1D1111:C0.0
dProofs13.txt:10                       5 CpCqp          DDD11D1D1D111:C0C1.0
dProofs17.txt:31                       5 CpCqq          DDD1D1D11D1D1D111:C0C1.1
dProofs35.txt:969                      5 CNNpp          DDD11DDD1D1DD1D1D111DDD11D1D1D11111:CNN0.0
dProofs43.txt:14745                    5 NNCpp          DDDD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNC0.0
dProofs59.txt:722706                   5 CpNNp          DDDD1D1D11D1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D111111:C0NN0
dProofs21.txt:85                       6 CNCppq         DDDD1D1D11DD1D11D1111:CNC0.0.1
dProofs41.txt:2347                     6 CpCNpq         DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1D1D11:C0CN0.1
dProofs59.txt:182585                   6 CNpCpq         DD1D1D1DD1D1D11D1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11:CN0C0.1
dProofs63.txt:1937286                  6 CNCpqp         DDDD1D1D11D1D1D1DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D1111:CNC0.1.0
dProofs11.txt:5                        7 CpCqCrq        DD11D1D1D11:C0C1C2.1
dProofs15.txt:8                        7 CpCqCrr        DD1D1D11D1D1D11:C0C1C2.2
dProofs31.txt:230                      7 CpCqNNp        DD1D1D1DD1D1D11D1D1D11D1D1D1D11:C0C1NN0
dProofs33.txt:298                      7 CpCNNqq        DD11DDD1D1DD1D1D111DDD11D1D1D1111:C0CNN1.1
dProofs33.txt:418                      7 CpCqCrp        DD1D1DD1D1D11D1D1D11DDD11D1D1D111:C0C1C2.0
dProofs41.txt:6675                     7 CpNNCqq        DDD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D111:C0NNC1.1
dProofs41.txt:9422                     7 CNNpCqp        DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D111:CNN0C1.0
dProofs43.txt:11581                    7 CNCpqNq        DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D111:CNC0.1N1
dProofs47.txt:31210                    7 CpNNCqp        DDD1DDD1D1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D111:C0NNC1.0
dProofs47.txt:38625                    7 NNCpCqp        DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD11D1D1D1111:NNC0C1.0
dProofs51.txt:102208                   7 NNCpCqq        DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1D11D1D1D1111:NNC0C1.1
dProofs57.txt:318798                   7 CpCqNNq        DDD1D1D11D1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D11111:C0C1NN1
dProofs63.txt:2054507                  7 CNNNNpp        DDDD1D1DDDD11D1D1D111D1D1111DDD11DDD1D1DD1D1D111DDD11D1D1D11111:CNNNN0.0
dProofs69.txt:8578173                  7 NNCNNpp        DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD11DDD1D1DD1D1D111DDD11D1D1D111111:NNCNN0.0
dProofs73-unfiltered71+.txt:19640352   7 CNCpNqq        DDD11DDDD1D1DD1DD1DD1DD11D1D1D11D1DD1D1DD1D111D1D1D1D111111DDD11D1D1D1111:CNC0N1.1
dProofs75-unfiltered71+.txt:48059050   7 NNNNCpp        DDD1D1D1D11DD1D1DD1D1D11D1D1D11DDDDD1D1D11DD1D1111DDD1D1DD1DD11D1D1D1111111:NNNNC0.0
dProofs9.txt:4                         8 CpCqCNpr       DD1D11D11:C0C1CN0.2
dProofs19.txt:45                       8 CpCNCqqr       DDD1D1D11DD1D11D111:C0CNC1.1.2
dProofs25.txt:179                      8 CpCNCqpr       DDD1DDD1D1D1111DD1D11D111:C0CNC1.0.2
dProofs25.txt:211                      8 CNCpCqpr       DDDD1D11D11DDD11D1D1D1111:CNC0C1.0.2
dProofs29.txt:521                      8 CNCpCqqr       DDDD1D11D11DDD1D1D11D1D1D1111:CNC0C1.1.2
dProofs39.txt:2379                     8 CpCqCNqr       DD1DDD1D1DD1D1DD1D1D11D1D1D111D111D1D11:C0C1CN1.2
dProofs39.txt:2451                     8 CNNpCNpq       DDD11DDDD1D1DD1DD11D1D1D11111DD1D11D111:CNN0CN0.1 [instance of CNpCpq]
dProofs41.txt:2642                     8 CCNpNNpp       DD1D1DD1D1D11D1D1D11DDD1D1DD1D1D111D1D111:CCN0NN0.0
dProofs47.txt:35887                    8 CNCNNppq       DDDD1D11D11DDD11DDD1D1DD1D1D111DDD11D1D1D111111:CNCNN0.0.1
dProofs47.txt:42221                    8 CNNNCppq       DDDDD1D1D11DD1D1111DDD1D1DDDD11D1D1D111D1D11111:CNNNC0.0.1
dProofs53.txt:187212                   8 NNCNCppq       DDDDDD1D1D11DD1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNCNC0.0.1
dProofs61.txt:850605                   8 CpCNCqrq       DDD1D1D11D1D1D1DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D111:C0CNC1.2.1
dProofs61.txt:1184578                  8 CNCpNNpq       DDDD1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D1111DD1D11D1111:CNC0NN0.1
dProofs63.txt:1945305                  8 CNCpqCqr       DDDD1D1DD1D1DD1D1D11D1D1D111DD1D11D111DDD1DDD1D1D1111DD1D11D111:CNC0.1C1.2
dProofs65.txt:665597                   8 CpCNqCqr       DD11DDD1D1DD1D1DD1D1D11D1D1D111DD1D1DD1D1D11D1D1D11DDD11D1D1D1111:C0CN1C1.2
dProofs69.txt:2152357                  8 CpCNNNpq       DD1D1D1DD1D1D11D1D1D11DDD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D1111:C0CNNN0.1
dProofs73-unfiltered71+.txt:28083059   8 CCNppCqp       DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D11DD1D1DD1D1D11D1D1D11111:CCN0.0C1.0
dProofs73-unfiltered71+.txt:29142162   8 CNCpCqrq       DDD1D1DDD1D1DD1D1DD1D1D11D1D1D111DD1D1DD1DD11D1D1D111DDD11D1D1D1111D1D111:CNC0C1.2.1
dProofs75-unfiltered71+.txt:65419430   8 NNCpCNpq       DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1D1D111:NNC0CN0.1
dProofs7.txt:1                         9 CCCppqCrq      D1D1D11:CCC0.0.1C2.1
dProofs9.txt:6                         9 CCpqCqCpq      DDD11D111:CC0.1C1C0.1 [instance of CpCqp]
dProofs13.txt:8                        9 CpCqCrCsr      DD1DD1D111D11:C0C1C2C3.2
dProofs19.txt:1                        9 CCCpqrCqr      D1D1DD1D1D11D1D1D11:CCC0.1.2C1.2
dProofs19.txt:26                       9 CpCCqpCrp      DDD11DDD11D1D1D1111:C0CC1.0C2.0 [instance of CpCqCrp]
dProofs21.txt:32                       9 CpCCpqCrq      DD1D1DD1D1D11D1D1D111:C0CC0.1C2.1
dProofs21.txt:34                       9 CpCqCrCss      DD1DD11D1D1D11D1D1D11:C0C1C2C3.3
dProofs27.txt:286                      9 CCpqCNNpq      DDD1D1DDDD11D1D1D111D1D1111:CC0.1CNN0.1
dProofs31.txt:639                      9 CpCCNqNpq      DDD1D1D11D1D1D1DD1D1D11D1D1D111:C0CCN1N0.1
dProofs31.txt:916                      9 CNCNCppqr      DDDDDD1D1D11DD1D1111DD1D11D1111:CNCNC0.0.1.2
dProofs33.txt:220                      9 CCCpqpCrp      D1DDD1D1DD1D1DD1D1D11D1D1D111D111:CCC0.1.0C2.0
dProofs33.txt:436                      9 CpCqCrCsq      DD1DD11D1D1D11D1D1DD1D1D11D1D1D11:C0C1C2C3.1
dProofs33.txt:533                      9 CpCqCNNrr      DD1DD1D1DD1D1D111DDD11D1D1D111D11:C0C1CNN2.2
dProofs37.txt:1550                     9 CNNCCppqq      DDD11DDDD1D1DD1DD11D1D1D11111D1D1D111:CNNCC0.0.1.1
dProofs39.txt:1321                     9 CpCqNNCrr      DD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D11:C0C1NNC2.2
dProofs41.txt:2694                     9 CpCNCqrNr      DD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D11:C0CNC1.2N2
dProofs41.txt:2869                     9 CpCNNqCrq      DD1DD11D1D1D11DDD1D1DDDD11D1D1D111D1D1111:C0CNN1C2.1
dProofs41.txt:6682                     9 CCNpNCqqp      DDD1D1D11DDD1D1D11D1D1D1DD1D1D11D1D1D1111:CCN0NC1.1.0
dProofs45.txt:5120                     9 CpCqCrNNq      DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11:C0C1C2NN1
dProofs45.txt:9808                     9 CpCqNNCrq      DD1DDD1D1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D11:C0C1NNC2.1
dProofs45.txt:17465                    9 CpNNCqCrq      DDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD11D1D1D111:C0NNC1C2.1
dProofs45.txt:23929                    9 NNCpCqCrq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD11D1D1D111:NNC0C1C2.1
dProofs49.txt:45595                    9 CpNNCqCrr      DDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1D11D1D1D111:C0NNC1C2.2
dProofs49.txt:62718                    9 NNCpCqCrr      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1D11D1D1D111:NNC0C1C2.2
dProofs51.txt:28981                    9 CpCqNNCrp      DD1D1DD1D1D11D1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D11:C0C1NNC2.0
dProofs51.txt:30084                    9 CpCqCrNNp      DD1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11DDD11D1D1D111:C0C1C2NN0
dProofs51.txt:36344                    9 CpCqCrCsp      DD1DD1D1DD1D1D11D1D1D111D1DD1DD1DD11D1D1D11D1D1D111:C0C1C2C3.0
dProofs51.txt:79221                    9 CNCpqCrNq      DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111DDD11D1D1D1111:CNC0.1C2N1
dProofs53.txt:70443                    9 CNpCNCpqr      DDD11DDD1D1DD1D1DD1D1D11D1D1D111DD1D11DDD11D1D1D11111:CN0CNC0.1.2
dProofs53.txt:152620                   9 CNCpCNpqr      DDDD1D11D11DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1D1D111:CNC0CN0.1.2
dProofs55.txt:57384                    9 CpCqCrNNr      DD1D1D11D1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D1111:C0C1C2NN2
dProofs61.txt:942923                   9 CNCpCqrNr      DDD1D1DD1DD1DD1DD11D1D1D11D1D1D1111DDD1DDD1D1D1111DD1D11D1111:CNC0C1.2N2
dProofs61.txt:1252633                  9 CNNpCqCrp      DDDD1D1DDDD11D1D1D111D1D1111DD1D1DD1D1D11D1D1D11DDD11D1D1D111:CNN0C1C2.0
dProofs63.txt:616216                   9 CpCNNNNqq      DD1DD11DDD1D1DD1D1D111DDD11D1D1D1111DDD1D1DDDD11D1D1D111D1D1111:C0CNNNN1.1
dProofs63.txt:820029                   9 CNNCCpqpp      DDD11DDDD1D1DD1DD11D1D1D11111D1DDD1D1DD1D1DD1D1D11D1D1D111D1111:CNNCC0.1.0.0
dProofs65.txt:892620                   9 CNCpNqCrq      DD1D1DD1D1D11D1DD1DDD1D1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D11D1D11:CNC0N1C2.1
dProofs65.txt:3181278                  9 NNCpCqNNp      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D111:NNC0C1NN0
dProofs65.txt:3185256                  9 CNCNCpqpr      DDDD1D1D1DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11DD1D11D1111:CNCNC0.1.0.2
dProofs67.txt:1456274                  9 CpNNCqCrp      DD1D1DD1D1D11D1D1D11DDD1DDD1D1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D111:C0NNC1C2.0
dProofs67.txt:3744798                  9 CpNNCNNqq      DDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD11DDD1D1DD1D1D111DDD11D1D1D11111:C0NNCNN1.1
dProofs67.txt:5219267                  9 NCCppNCqq      DDDD1D1D11DD1D1DD1D1D11D1DD11DDDD1D1DD1DD11D1D1D11111D1D1D11D1D1111:NCC0.0NC1.1
dProofs67.txt:5222754                  9 NNCpCNNqq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD11DDD1D1DD1D1D111DDD11D1D1D11111:NNC0CNN1.1
dProofs67.txt:5222873                  9 NNCpCqCrp      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1DD1D1D11D1D1D11DDD11D1D1D1111:NNC0C1C2.0
dProofs69.txt:6788094                  9 CCpNpCqNp      DDD1D1DD1DD1DD1D1D11D1DD1D1D11D1D1DD1D1DDDD11D1D1D111D1D11DD1D1111111:CC0N0C1N0
dProofs69.txt:9128471                  9 CNNNNpCqp      DDDD1D1DDDD11D1D1D111D1D1111DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D111:CNNNN0C1.0
dProofs71-unfiltered71+.txt:4123142    9 CpCNCqNrr      DD11DDDD1D1DD1DD1DD1DD11D1D1D11D1DD1D1DD1D111D1D1D1D111111DDD11D1D1D111:C0CNC1N2.2
dProofs71-unfiltered71+.txt:18093336   9 CNCNpCpqr      DDDD1D11D11DD1D1D1DD1D1D11D1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D111:CNCN0C0.1.2
dProofs71-unfiltered71+.txt:21027005   9 CNNNCpqNq      DDDD1D1DDDD11D1D1D111D1D1111DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D111:CNNNC0.1N1
dProofs73-unfiltered71+.txt:12314914   9 CpNNNNCqq      DD1D1D1D11DD1D1DD1D1D11D1D1D11DDDDD1D1D11DD1D1111DDD1D1DD1DD11D1D1D111111:C0NNNNC1.1
dProofs73-unfiltered71+.txt:13880853   9 CpCqNNNNp      DD1D1DD1DD1D1DDDD11D1D1D111D1D111D1DD11DDD1D1DD1D1D111DDD11D1D1D1111D1D11:C0C1NNNN0
dProofs73-unfiltered71+.txt:19597221   9 CNNpNNCqp      DDD11DDD1D1DD1D1D111DD1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11DDD11D1D1D11111:CNN0NNC1.0
dProofs75-unfiltered71+.txt:65422744   9 NNCpNNCqq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNC0NNC1.1
dProofs75-unfiltered71+.txt:65424761   9 NNCNNpCqp      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D1111:NNCNN0C1.0
dProofs77-unfiltered71+.txt:92550708   9 CNCpCqNrr      DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D111DDD1DDD1D1D1111DD1D11D1111:CNC0C1N2.2
dProofs77-unfiltered71+.txt:117362101  9 NNCNCpqNq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D1111:NNCNC0.1N1
dProofs13.txt:7                       10 CpCqCrCNqs     DD1D1D11D1D11:C0C1C2CN1.3
dProofs17.txt:11                      10 CpCqCNCrrs     DD1D1D11DD1D11D11:C0C1CNC2.2.3
