dProofs13.txt:11                       3 Cpp             DDDD1D11D1111:C0.0
dProofs11.txt:6                        5 CpCqq           DDD1D11D111:C0C1.1
dProofs19.txt:13                       5 CpCqp           DD1DD11D11D1DD1D111:C0C1.0
dProofs91-unfiltered83+.txt:139744796  5 NNCpp           DDDD1DD1D111DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D111111:NNC0.0
dProofs27.txt:204                      6 CNCppq          DDDD1DD1D111DD1DD11D11D1111:CNC0.0.1
dProofs37.txt:237                      6 CpCNpq          DDD1D11D1DD1D1DD1DD11D11D1DD1D111D111:C0CN0.1
dProofs39.txt:898                      6 CNCpqp          DDD1D1DD1DD11D11D11DD1DD11D11D1DD1D1111:CNC0.1.0
dProofs77.txt:1633737                  6 CNpCpq          DDD1DD1D111DDD1D1DDD11DD1DD11DD1D1DDD11D111D1DD1D111D1DD1D1111DD1DD11D11D1111:CN0C0.1
dProofs9.txt:4                         7 CpCqCrr         DD1D11D11:C0C1C2.2
dProofs9.txt:5                         7 CCpqCpq         DDD11D111:CC0.1C0.1 [instance of Cpp]
dProofs9.txt:6                         7 CCpqCqq         DDD1D1111:CC0.1C1.1 [instance of CpCqq]
dProofs23.txt:12                       7 CpCqCrq         DD11DD1DD11D11D1DD1D111:C0C1C2.1
dProofs35.txt:445                      7 CCCppqq         DDD1D1DD1DD11D11D1DD1D111D1DD1D1111:CCC0.0.1.1
dProofs47.txt:3921                     7 CCCpqpp         DDD1D1DD1DD11D11D1DD1D111D1DD1DD11D11D1DD1D1111:CCC0.1.0.0
dProofs51.txt:2156                     7 CpCqCrp         DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0C1C2.0
dProofs77.txt:182421                   7 CpCqNNp         DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:C0C1NN0
dProofs83-unfiltered83+.txt:3790040    7 CpNNCqp         DDD11DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D11111:C0NNC1.0
dProofs85-unfiltered83+.txt:7502742    7 CNCpNqq         DDD11DD1DD11D11D1DDD1DD11D11D1DD1D111DD11DD1DD1D1DD1DD11D11D1DD1D111D11DDD1DD11D11111:CNC0N1.1
dProofs89-unfiltered83+.txt:60947355   7 CpNNCqq         DDD1DD1D111DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D11111:C0NNC1.1
dProofs91-unfiltered83+.txt:135134047  7 NNCpCqq         DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD1D11D1111:NNC0C1.1
dProofs13.txt:7                        8 CpCqCNpr        DD1DD11D11D11:C0C1CN0.2
dProofs19.txt:15                       8 CpCNCqpr        DDD11DD1DD11D11D111:C0CNC1.0.2
dProofs25.txt:100                      8 CpCNCqqr        DDD1DD1D111DD1DD11D11D111:C0CNC1.1.2
dProofs27.txt:60                       8 CNCpCqrq        DDD1D11DDD11DD1DD11D11D1111:CNC0C1.2.1
dProofs27.txt:202                      8 CNCpCqqr        DDDD1DD11D11D11DDD1D11D1111:CNC0C1.1.2
dProofs35.txt:85                       8 CpCqCNqr        DD1D11D1DD1D1DD1DD11D11D1DD1D111D11:C0C1CN1.2
dProofs35.txt:740                      8 CNCpCqpr        DDDD1DD11D11D11DD1DD11D11D1DD1D1111:CNC0C1.0.2
dProofs37.txt:148                      8 CpCNCqrq        DD1D1DD1DD11D11D11DD1DD11D11D1DD1D111:C0CNC1.2.1
dProofs71.txt:355423                   8 CNCpqCrp        DDD1D1DD1DD11D11D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D1111:CNC0.1C2.0
dProofs73.txt:115898                   8 CNCpqCqr        DD1DDD1DD11D11D1DD1D111D1DD1D111DDD1DD1DDD1DD11D11D1DD1D111D1DD1D1111D111:CNC0.1C1.2
dProofs73.txt:752824                   8 CCNpNNpp        DDD1DD1D1DDD11D111D1DD1D111D1DD1DDD1DD11D11D1DD1D1111D1DD11DD1DD11D11D111:CCN0NN0.0
