dProofs5.txt:28                        3 Cpp        DD211:C0.0
dProofs1.txt:4                         4 CLpp       4:CL0.0
dProofs6.txt:61                        4 LCpp       NDD211:LC0.0
dProofs1.txt:1                         5 CpCqp      1:C0C1.0
dProofs2.txt:4                         5 LCLpp      N4:LCL0.0
dProofs7.txt:28                        5 CpCqq      D1DD211:C0C1.1
dProofs7.txt:113                       5 CLLpp      DD2D144:CLL0.0
dProofs7.txt:175                       5 LLCpp      NNDD211:LLC0.0
dProofs17.txt:56471                    5 CNNpp      DD2DD2D13DD2D1311:CNN0.0
dProofs19.txt:141543                   5 CpNNp      D3DD2DD2D13DD2D1311:C0NN0
dProofs25-unfiltered25+.txt:15310271   5 NNCpp      DD3DD2DD2D13DD2D1311DD211:NNC0.0
dProofs2.txt:1                         6 LCpCqp     N1:LC0C1.0
dProofs3.txt:4                         6 CpCLqq     D14:C0CL1.1
dProofs3.txt:15                        6 LLCLpp     NN4:LLCL0.0
dProofs7.txt:103                       6 CLpCqp     DD2D114:CL0C1.0
dProofs7.txt:110                       6 CNpCpq     DD2D131:CN0C0.1
dProofs8.txt:61                        6 CpLCqq     D1NDD211:C0LC1.1
dProofs8.txt:150                       6 LCpCqq     ND1DD211:LC0C1.1
dProofs8.txt:235                       6 LCLLpp     NDD2D144:LCLL0.0
dProofs8.txt:297                       6 LLLCpp     NNNDD211:LLLC0.0
dProofs13.txt:3844                     6 CLLLpp     DD2D14DD2D144:CLLL0.0
dProofs15.txt:13746                    6 CpCNpq     DD2D1D2DD2D1311:C0CN0.1
dProofs17.txt:50347                    6 CNCppq     DD2D1DD23D1DD2111:CNC0.0.1
dProofs18.txt:157400                   6 LCNNpp     NDD2DD2D13DD2D1311:LCNN0.0
dProofs19.txt:215659                   6 CCNppp     DD2DD2D13D2DD2D1311:CCN0.0.0
dProofs20.txt:539401                   6 LCpNNp     ND3DD2DD2D13DD2D1311:LC0NN0
dProofs21.txt:834241                   6 NNCLpp     DD3DD2DD2D13DD2D13114:NNCL0.0
dProofs23.txt:2694096                  6 CNNLpp     DD2D14DD2DD2D13DD2D1311:CNNL0.0
dProofs23.txt:2803483                  6 CLNNpp     DD2D1DD2DD2D13DD2D13114:CLNN0.0
dProofs25-unfiltered25+.txt:8729377    6 CpNLNp     D3DD2D14DD2DD2D13DD2D1311:C0NLN0
dProofs25-unfiltered25+.txt:12953375   6 CLpNNp     DD2D1D3DD2DD2D13DD2D13114:CL0NN0
dProofs26-unfiltered25+.txt:29786416   6 NNLCpp     DD3DD2DD2D13DD2D1311NDD211:NNLC0.0
dProofs26-unfiltered25+.txt:46014136   6 LNNCpp     NDD3DD2DD2D13DD2D1311DD211:LNNC0.0
dProofs3.txt:1                         7 CpCqCrq    D11:C0C1C2.1
dProofs3.txt:7                         7 CCpqCpp    D21:CC0.1C0.0 [instance of CpCqq]
dProofs3.txt:12                        7 LLCpCqp    NN1:LLC0C1.0
dProofs4.txt:4                         7 CpLCLqq    D1N4:C0LCL1.1
dProofs4.txt:7                         7 CLpLCqp    D5N1:CL0LC1.0
dProofs4.txt:15                        7 LCpCLqq    ND14:LC0CL1.1
dProofs4.txt:26                        7 LLLCLpp    NNN4:LLLCL0.0
dProofs7.txt:100                       7 CpCqCrp    DD2D111:C0C1C2.0
dProofs8.txt:225                       7 LCLpCqp    NDD2D114:LCL0C1.0
dProofs8.txt:232                       7 LCNpCpq    NDD2D131:LCN0C0.1
dProofs9.txt:28                        7 CpCqCrr    D1D1DD211:C0C1C2.2
dProofs9.txt:113                       7 CpCLLqq    D1DD2D144:C0CLL1.1
dProofs9.txt:175                       7 CpLLCqq    D1NNDD211:C0LLC1.1
dProofs9.txt:402                       7 LCpLCqq    ND1NDD211:LC0LC1.1
dProofs9.txt:491                       7 LLCpCqq    NND1DD211:LLC0C1.1
dProofs9.txt:576                       7 LLCLLpp    NNDD2D144:LLCLL0.0
dProofs9.txt:638                       7 LLLLCpp    NNNNDD211:LLLLC0.0
dProofs13.txt:3763                     7 CLLpCqp    DD2D11DD2D144:CLL0C1.0
dProofs13.txt:3826                     7 CLNpCpq    DD2D13DD2D114:CLN0C0.1
dProofs13.txt:3827                     7 CNNpCqp    DD2D13DD2D131:CNN0C1.0
dProofs13.txt:3926                     7 CpCCpqq    DD2D1D2DD2111:C0CC0.1.1
dProofs13.txt:3964                     7 CNCLppq    DD2D1DD23D141:CNCL0.0.1
dProofs14.txt:10601                    7 LCLLLpp    NDD2D14DD2D144:LCLLL0.0
dProofs15.txt:14527                    7 CCCppqq    DD2DD211D1DD211:CCC0.0.1.1
dProofs16.txt:40131                    7 LCpCNpq    NDD2D1D2DD2D1311:LC0CN0.1
dProofs18.txt:89613                    7 CNLCppq    DD2D1DD23D1NDD2111:CNLC0.0.1
dProofs18.txt:151276                   7 LCNCppq    NDD2D1DD23D1DD2111:LCNC0.0.1
dProofs19.txt:56471                    7 CpCNNqq    D1DD2DD2D13DD2D1311:C0CNN1.1
dProofs19.txt:183176                   7 CLLLLpp    DD2D14DD2D14DD2D144:CLLLL0.0
dProofs19.txt:374828                   7 LLCNNpp    NNDD2DD2D13DD2D1311:LLCNN0.0
dProofs20.txt:283943                   7 CLNNpLp    D5NDD2DD2D13DD2D1311:CLNN0L0
dProofs20.txt:613517                   7 LCCNppp    NDD2DD2D13D2DD2D1311:LCCN0.0.0
dProofs21.txt:141543                   7 CpCqNNq    D1D3DD2DD2D13DD2D1311:C0C1NN1
dProofs21.txt:712250                   7 CLpCNpq    DD2D1D2DD2D131DD2D114:CL0CN0.1
dProofs21.txt:712370                   7 CpCLNpq    DD2D1D2DD2D13DD2D1141:C0CLN0.1
dProofs21.txt:834238                   7 NNCpCqp    DD3DD2DD2D13DD2D13111:NNC0C1.0
dProofs21.txt:1376209                  7 LLCpNNp    NND3DD2DD2D13DD2D1311:LLC0NN0
dProofs22.txt:1040209                  7 CLpLNNp    D5ND3DD2DD2D13DD2D1311:CL0LNN0
dProofs22.txt:1581137                  7 NNLCLpp    DD3DD2DD2D13DD2D1311N4:NNLCL0.0
dProofs22.txt:2418601                  7 LNNCLpp    NDD3DD2DD2D13DD2D13114:LNNCL0.0
dProofs23.txt:2786256                  7 CLNCppq    DD2D1DD23D1DD211DD2D114:CLNC0.0.1
dProofs24.txt:9033558                  7 LCNNLpp    NDD2D14DD2DD2D13DD2D1311:LCNNL0.0
dProofs24.txt:9142945                  7 LCLNNpp    NDD2D1DD2DD2D13DD2D13114:LCLNN0.0
dProofs25-unfiltered25+.txt:12333644   7 CpCqNNp    DD2D11D3DD2DD2D13DD2D1311:C0C1NN0
dProofs25-unfiltered25+.txt:12953372   7 CpNNCqp    DD2D1D3DD2DD2D13DD2D13111:C0NNC1.0
dProofs25-unfiltered25+.txt:12997892   7 CNpCLpq    DD2D1DD22D14DD2D11DD2D131:CN0CL0.1
dProofs25-unfiltered25+.txt:13141906   7 CLCNppp    DD2D1DD2DD2D13D2DD2D13114:CLCN0.0.0
dProofs26-unfiltered25+.txt:39451547   7 LCpNLNp    ND3DD2D14DD2DD2D13DD2D1311:LC0NLN0
dProofs26-unfiltered25+.txt:43663249   7 LCLpNNp    NDD2D1D3DD2DD2D13DD2D13114:LCL0NN0
dProofs27-unfiltered25+.txt:15301438   7 CpNNCqq    D1DD3DD2DD2D13DD2D1311DD211:C0NNC1.1
dProofs27-unfiltered25+.txt:38702085   7 CNCpNqq    D3DD2D1D3DD2DD2D13DD2D13111:CNC0N1.1
dProofs27-unfiltered25+.txt:67478376   7 NLNCLpp    DD3DD2D14DD2DD2D13DD2D13114:NLNCL0.0
dProofs27-unfiltered25+.txt:67478406   7 NNCpCqq    DD3DD2DD2D13DD2D1311D1DD211:NNC0C1.1
dProofs27-unfiltered25+.txt:67478491   7 NNCLLpp    DD3DD2DD2D13DD2D1311DD2D144:NNCLL0.0
dProofs27-unfiltered25+.txt:67478553   7 NNLLCpp    DD3DD2DD2D13DD2D1311NNDD211:NNLLC0.0
dProofs27-unfiltered25+.txt:99286766   7 LNNLCpp    NDD3DD2DD2D13DD2D1311NDD211:LNNLC0.0
dProofs27-unfiltered25+.txt:115298375  7 LLNNCpp    NNDD3DD2DD2D13DD2D1311DD211:LLNNC0.0
dProofs29-unfiltered25+.txt:238408690  7 CNNLLpp    DD2D14DD2D14DD2DD2D13DD2D1311:CNNLL0.0
dProofs29-unfiltered25+.txt:238431440  7 CLNNLpp    DD2D14DD2D1DD2DD2D13DD2D13114:CLNNL0.0
dProofs29-unfiltered25+.txt:256613429  7 CLLNNpp    DD2D1DD2D1DD2DD2D13DD2D131144:CLLNN0.0
dProofs29-unfiltered25+.txt:257253972  7 CCNpLpp    DD2D1DD2DD2D13D2DD2D1311D2D14:CCN0L0.0
dProofs29-unfiltered25+.txt:286753128  7 CNNNNpp    DD2DD2D13DD2D13DD2D13DD2D1311:CNNNN0.0
dProofs4.txt:1                         8 CpLCqCrq   D1N1:C0LC1C2.1
dProofs4.txt:12                        8 LCpCqCrq   ND11:LC0C1C2.1
dProofs4.txt:18                        8 LCCpqCpp   ND21:LCC0.1C0.0 [instance of LCpCqq]
dProofs4.txt:23                        8 LLLCpCqp   NNN1:LLLC0C1.0
dProofs5.txt:4                         8 CpCqCLrr   D1D14:C0C1CL2.2
dProofs5.txt:15                        8 CpLLCLqq   D1NN4:C0LLCL1.1
dProofs5.txt:21                        8 CCpLqCpq   D2D14:CC0L1C0.1
dProofs5.txt:32                        8 LCpLCLqq   ND1N4:LC0LCL1.1
dProofs5.txt:35                        8 LCLpLCqp   ND5N1:LCL0LC1.0
dProofs5.txt:43                        8 LLCpCLqq   NND14:LLC0CL1.1
dProofs5.txt:54                        8 LLLLCLpp   NNNN4:LLLLCL0.0
dProofs8.txt:222                       8 LCpCqCrp   NDD2D111:LC0C1C2.0
dProofs9.txt:103                       8 CpCLqCrq   D1DD2D114:C0CL1C2.1
dProofs9.txt:110                       8 CpCNqCqr   D1DD2D131:C0CN1C1.2
dProofs9.txt:330                       8 CpCLCpqq   DD2D1D241:C0CLC0.1.1
