dProofs5.txt:12                         3 Cpp          DD211:C0.0
dProofs1.txt:1                          5 CpCqp        1:C0C1.0
dProofs7.txt:12                         5 CpCqq        D1DD211:C0C1.1
dProofs17.txt:5142                      5 CNNpp        DD2DD2D13DD2D1311:CNN0.0
dProofs19.txt:9539                      5 CpNNp        D3DD2DD2D13DD2D1311:C0NN0
dProofs25.txt:382213                    5 NNCpp        DD3DD2DD2D13DD2D1311DD211:NNC0.0
dProofs7.txt:37                         6 CNpCpq       DD2D131:CN0C0.1
dProofs15.txt:1602                      6 CpCNpq       DD2D1D2DD2D1311:C0CN0.1
dProofs17.txt:4495                      6 CNCppq       DD2D1DD23D1DD2111:CNC0.0.1
dProofs19.txt:14987                     6 CCNppp       DD2DD2D13D2DD2D1311:CCN0.0.0
dProofs33.txt:19284843                  6 CNCpqp       D3DD2D1D3DD2DD2D13DD2D1311DD2D131:CNC0.1.0
dProofs3.txt:1                          7 CpCqCrq      D11:C0C1C2.1
dProofs3.txt:4                          7 CCpqCpp      D21:CC0.1C0.0 [instance of CpCqq]
dProofs7.txt:31                         7 CpCqCrp      DD2D111:C0C1C2.0
dProofs9.txt:12                         7 CpCqCrr      D1D1DD211:C0C1C2.2
dProofs13.txt:553                       7 CNNpCqp      DD2D13DD2D131:CNN0C1.0
dProofs13.txt:575                       7 CpCCpqq      DD2D1D2DD2111:C0CC0.1.1
dProofs15.txt:1755                      7 CCCppqq      DD2DD211D1DD211:CCC0.0.1.1
dProofs19.txt:5142                      7 CpCNNqq      D1DD2DD2D13DD2D1311:C0CNN1.1
dProofs21.txt:9539                      7 CpCqNNq      D1D3DD2DD2D13DD2D1311:C0C1NN1
dProofs21.txt:43810                     7 NNCpCqp      DD3DD2DD2D13DD2D13111:NNC0C1.0
dProofs25.txt:278417                    7 CpCqNNp      DD2D11D3DD2DD2D13DD2D1311:C0C1NN0
dProofs25.txt:316712                    7 CpNNCqp      DD2D1D3DD2DD2D13DD2D13111:C0NNC1.0
dProofs27.txt:382213                    7 CpNNCqq      D1DD3DD2DD2D13DD2D1311DD211:C0NNC1.1
dProofs27.txt:711810                    7 CNCpNqq      D3DD2D1D3DD2DD2D13DD2D13111:CNC0N1.1
dProofs27.txt:1137855                   7 NNCpCqq      DD3DD2DD2D13DD2D1311D1DD211:NNC0C1.1
dProofs29.txt:3310632                   7 CNNNNpp      DD2DD2D13DD2D13DD2D13DD2D1311:CNNNN0.0
dProofs31.txt:6381480                   7 CpNNNNp      D3DD2DD2D13DD2D13DD2D13DD2D1311:C0NNNN0
dProofs37-unfiltered35+.txt:388933026   7 CpNCpNp      DD2DD2D1D231DD2D1D2DD2DD2D13DD2D13111:C0NC0N0
dProofs37-unfiltered35+.txt:402788913   7 NNCNNpp      DD3DD2DD2D13DD2D1311DD2DD2D13DD2D1311:NNCNN0.0
dProofs37-unfiltered35+.txt:402789004   7 NNNNCpp      DD3DD2DD2D13DD2D13DD2D13DD2D1311DD211:NNNNC0.0
dProofs39-unfiltered35+.txt:842045984   7 CNCpqNq      D3DD2D1D3DD2DD2D13DD2D1311DD2D13DD2D131:CNC0.1N1
dProofs39-unfiltered35+.txt:1357621702  7 NNCpNNp      DD3DD2DD2D13DD2D1311D3DD2DD2D13DD2D1311:NNC0NN0
dProofs9.txt:37                         8 CpCNqCqr     D1DD2D131:C0CN1C1.2
dProofs13.txt:523                       8 CNpCqCpr     DD2D11DD2D131:CN0C1C0.2
dProofs13.txt:586                       8 CNCpCqpr     DD2D1DD23D111:CNC0C1.0.2
dProofs13.txt:592                       8 CNCNpNpp     DD2D1DD23D211:CNCN0N0.0 [instance of CNCppq]
dProofs15.txt:1510                      8 CCNppCqp     DD2D13D2DD2D131:CCN0.0C1.0
dProofs17.txt:1602                      8 CpCqCNqr     D1DD2D1D2DD2D1311:C0C1CN1.2
dProofs17.txt:3154                      8 CCpNpCpq     D2DD2D1D2DD2D1311:CC0N0C0.1
dProofs19.txt:4495                      8 CpCNCqqr     D1DD2D1DD23D1DD2111:C0CNC1.1.2
dProofs19.txt:11992                     8 CNNNpCpq     DD2D13DD2D13DD2D131:CNNN0C0.1
dProofs19.txt:12953                     8 CNCpCqqr     DD2D1DD23D1D1DD2111:CNC0C1.1.2
dProofs21.txt:14987                     8 CpCCNqqq     D1DD2DD2D13D2DD2D1311:C0CCN1.1.1
dProofs21.txt:33086                     8 CpCqCNpr     DD2D11DD2D1D2DD2D1311:C0C1CN0.2
dProofs21.txt:36654                     8 CpCNCqpr     DD2D1D2DD2D131DD2D111:C0CNC1.0.2
dProofs25.txt:310448                    8 CpCCpNpq     DD2D1D2D2DD2D1D2DD2D13111:C0CC0N0.1
dProofs25.txt:316803                    8 CNCpqCqr     DD2D1DD22D11DD2D11DD2D131:CNC0.1C1.2
dProofs25.txt:323717                    8 CCNpNNpp     DD2D1DD2DD2D13D2DD2D13113:CCN0NN0.0
dProofs27.txt:930468                    8 CpCNNNpq     DD2D1D2DD2D13DD2D13DD2D1311:C0CNNN0.1
dProofs27.txt:1137880                   8 NNCNpCpq     DD3DD2DD2D13DD2D1311DD2D131:NNCN0C0.1
dProofs29.txt:2846509                   8 CNNNCppq     DD2D1DD23D1DD211DD2D13DD2D131:CNNNC0.0.1
dProofs29.txt:2851280                   8 CNCNNppq     DD2D1DD23D1DD2DD2D13DD2D13111:CNCNN0.0.1
dProofs31.txt:8421158                   8 CNpNNCpq     DD2D1D3DD2DD2D13DD2D1311DD2D131:CN0NNC0.1
dProofs31.txt:8554692                   8 CNCpNNpq     DD2D1DD23D1D3DD2DD2D13DD2D13111:CNC0NN0.1
dProofs35-unfiltered35+.txt:19284843    8 CpCNCqrq     D1D3DD2D1D3DD2DD2D13DD2D1311DD2D131:C0CNC1.2.1
dProofs35-unfiltered35+.txt:114604851   8 NNCpCNpq     DD3DD2DD2D13DD2D1311DD2D1D2DD2D1311:NNC0CN0.1
dProofs37-unfiltered35+.txt:306510019   8 CNCpqCrp     DD2D13DD2D1DD22D1DD2D131DD2D11DD2D131:CNC0.1C2.0
dProofs37-unfiltered35+.txt:341292806   8 CCCpNqqq     DD2D1DD2D1DD2DD2D13D2DD2D1311DD22D111:CCC0N1.1.1
dProofs37-unfiltered35+.txt:402788266   8 NNCNCppq     DD3DD2DD2D13DD2D1311DD2D1DD23D1DD2111:NNCNC0.0.1
dProofs39-unfiltered35+.txt:842045983   8 CNCpCqrq     D3DD2D1D3DD2DD2D13DD2D1311DD2D11DD2D131:CNC0C1.2.1
dProofs39-unfiltered35+.txt:1148629417  8 CpNNCNpq     DD2D1D3DD2DD2D13DD2D1311DD2D1D2DD2D1311:C0NNCN0.1
dProofs39-unfiltered35+.txt:1357627150  8 NNCCNppp     DD3DD2DD2D13DD2D1311DD2DD2D13D2DD2D1311:NNCCN0.0.0
dProofs1.txt:3                          9 CCNpNqCqp    3:CCN0N1C1.0
dProofs5.txt:1                          9 CpCqCrCsr    D1D11:C0C1C2C3.2
dProofs5.txt:4                          9 CpCCqrCqq    D1D21:C0CC1.2C1.1 [instance of CpCqCrr]
dProofs5.txt:7                          9 CCpqCpCrq    D2D11:CC0.1C0C2.1
dProofs7.txt:25                         9 CCpCpqCpq    DD22D21:CC0C0.1C0.1
dProofs9.txt:31                         9 CpCqCrCsq    D1DD2D111:C0C1C2C3.1
dProofs9.txt:64                         9 CCNppCNpq    D2DD2D131:CCN0.0CN0.1
dProofs9.txt:85                         9 CpCCNqNpq    DD2D1D231:C0CCN1N0.1
dProofs11.txt:12                        9 CpCqCrCss    D1D1D1DD211:C0C1C2C3.3
dProofs11.txt:189                       9 CCNpNCqqp    DD23D1DD211:CCN0NC1.1.0
dProofs11.txt:224                       9 CCCpCqprr    DD2DD211D11:CCC0C1.0.2.2
dProofs13.txt:517                       9 CpCqCrCsp    DD2D11DD2D111:C0C1C2C3.0
dProofs13.txt:565                       9 CpCCpqCrq    DD2D1D2D2D111:C0CC0.1C2.1
dProofs13.txt:577                       9 CCCpqrCqr    DD2D1DD22D111:CCC0.1.2C1.2
